"ID","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default.payment.next.month"
104,380000,4,1,4,30,-4,-4,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0
103,480000,1,1,1,63,0,0,0,4,4,0,422069,431344,479434,487066,471145,469961,16078,55693,17000,0,18000,24200,0
104,50000,4,3,4,24,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1364,1004,840,995,904,1
105,60000,4,4,4,26,4,4,4,4,4,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,0
106,70000,4,4,4,24,-1,-1,-4,-4,-4,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,0
107,80000,4,4,1,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0
108,350000,1,1,4,54,-1,-1,-1,-1,-1,-1,713,2274,724,867,1150,5263,2274,724,867,1150,5263,5011,0
109,130000,1,4,4,38,0,0,0,-1,-1,-1,171438,178384,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,0
110,360000,1,4,1,35,1,-4,-4,-4,-4,-4,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0
111,330000,4,1,1,31,0,0,4,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,0
114,50000,1,3,1,47,0,0,4,0,0,0,13244,14724,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,0
113,280000,1,4,1,41,4,4,4,4,4,3,135673,138534,134813,144401,152174,149415,6500,0,14254,14850,0,5000,0
114,1e+05,4,1,4,24,0,0,0,0,0,0,52128,52694,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0
115,50000,1,4,4,41,0,0,0,0,0,0,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,0
116,30000,1,1,4,24,-1,4,0,0,3,4,18199,17618,18631,21319,20694,21201,0,1314,3000,0,1000,1000,1
117,240000,1,1,4,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,0
118,80000,1,4,4,26,4,0,0,0,0,0,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,1
119,4e+05,1,4,1,34,-1,-1,-1,-1,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5714,0
120,240000,4,4,4,38,0,0,0,0,-1,-1,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,0
121,50000,1,3,4,37,4,4,4,3,4,4,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,1
124,450000,1,1,1,40,1,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,1
123,110000,4,1,1,48,1,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
124,310000,4,4,1,35,4,0,0,0,0,0,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,1
125,20000,1,1,4,27,0,0,0,0,0,0,19115,18964,19298,19378,19717,15630,1404,1130,600,861,313,0,0
126,20000,1,4,4,23,1,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2e+05,1,3,4,54,0,0,0,0,0,0,110151,99530,98951,100914,103146,104993,3568,3585,3604,3848,3669,3784,0
128,180000,1,1,1,36,0,0,0,0,0,0,163736,116424,99278,95766,97753,95927,4655,2690,2067,2144,2217,1000,1
129,50000,1,4,1,51,0,0,0,0,0,0,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,1
130,60000,1,3,1,55,3,4,4,0,0,0,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,0
131,30000,4,1,4,23,1,-4,-4,-4,-1,-1,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,0
134,240000,1,1,4,41,1,-1,-1,0,0,-1,95,2624,3301,3164,360,1737,2624,3301,0,360,1737,924,0
133,420000,1,4,1,34,0,0,0,0,0,0,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,0
134,330000,1,3,1,46,0,0,0,0,0,0,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,0
135,30000,4,4,4,24,0,0,0,0,0,0,28454,26145,26714,25350,17603,-780,2000,1400,0,500,0,1560,0
136,240000,1,4,1,34,0,0,0,4,4,4,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,327,0
137,150000,1,1,4,27,0,0,0,0,0,0,17444,19344,22000,24614,27200,30229,2500,3000,3000,3000,3500,5000,0
138,210000,4,4,1,33,0,0,0,0,0,0,7166,7997,8794,9189,4404,5708,1500,1500,1000,500,2000,546,0
139,50000,4,3,1,51,-1,-1,-1,-1,-4,-4,754,300,5880,0,0,0,300,5880,0,0,0,0,1
140,50000,1,1,4,24,0,0,0,0,0,0,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,0
141,240000,1,1,4,47,1,-4,-4,-4,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,1
144,180000,1,4,4,28,-1,-1,-1,-1,-1,-1,1834,0,834,334,416,416,0,416,334,500,3500,834,0
143,50000,1,4,4,23,1,4,4,4,0,0,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,600,0
144,170000,1,4,4,29,-4,-4,-4,-4,-4,-4,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,0
145,20000,1,1,4,29,-1,-1,-1,-1,0,-1,1199,15586,344,2340,6704,339,15586,344,2340,4704,339,330,0
146,50000,1,1,4,28,0,0,0,0,0,3,4999,5913,7315,9195,10624,10138,1000,1500,2000,1583,1100,0,0
147,170000,4,4,4,27,0,0,0,0,0,0,19269,20313,20854,17560,17918,9100,1661,1200,351,358,184,0,1
148,2e+05,1,1,4,34,1,4,0,0,0,0,197236,176194,93069,135668,132233,59875,8000,5000,55500,5000,5000,8500,0
149,80000,4,4,1,23,1,4,3,4,0,0,9168,10524,10205,9898,10123,12034,1650,0,0,379,2091,1,0
150,260000,4,1,1,60,1,-4,-1,-1,-1,-1,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,0
151,140000,1,4,1,34,0,0,0,0,4,0,86627,78144,68336,64648,58319,55251,3455,3110,5000,0,2100,2604,0
154,80000,1,1,4,25,0,0,0,0,0,0,42444,55744,43476,41087,41951,31826,30000,3000,6000,8000,2000,14000,0
153,350000,1,1,4,41,1,-1,-1,-1,-1,-4,208,2906,1000,630,0,0,2906,1000,630,0,0,0,0
154,280000,4,4,1,56,0,0,0,0,0,0,208775,182350,132257,101783,177145,169311,8044,6700,5137,1e+05,7000,6321,0
155,30000,4,3,4,26,0,0,0,0,0,0,9014,10406,11427,11935,13084,14206,1700,1500,1000,1500,1500,1500,0
156,140000,1,1,1,34,0,0,0,0,0,0,23944,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,5504,0
157,2e+05,4,1,4,37,0,0,0,0,0,0,105420,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,5000,0
158,2e+05,4,3,4,30,0,0,0,0,0,0,196031,196143,189524,167163,146975,122324,7300,7108,7680,6200,5000,4500,0
159,210000,1,3,1,45,4,3,4,4,5,6,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,1
160,50000,1,3,1,57,3,4,0,0,0,0,12854,12364,13447,13427,13711,14083,0,1600,500,500,600,600,0
161,30000,1,1,4,41,4,4,4,4,4,0,24357,27453,26718,28168,27579,28321,3500,0,2200,0,1200,1250,0
164,50000,1,4,4,27,4,-1,-1,-1,-1,4,390,390,780,216,1080,540,390,780,216,864,0,390,0
163,290000,1,3,1,47,-1,-1,-1,-1,0,-1,1234,396,396,794,396,423,396,396,794,0,423,369,0
164,250000,4,1,1,34,0,0,4,0,0,0,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,0
165,60000,4,4,1,46,0,0,0,0,0,0,21148,23803,24908,26034,26655,27756,3000,1500,1500,1000,1500,1500,0
166,110000,4,1,4,27,0,0,0,0,0,0,101640,104795,104855,74737,76058,77254,5500,3900,3000,2900,3000,2800,0
167,370000,1,1,4,50,-4,-4,-4,-4,-4,-4,6093,15130,8204,15398,4794,13453,15383,8204,15413,4794,13453,4699,0
168,1e+05,1,4,1,27,-1,4,4,0,0,0,102349,96847,58824,29336,22979,-246,3166,0,1330,1398,14,50000,0
169,90000,4,4,1,35,0,0,0,0,0,4,72114,73854,75526,77317,85854,88290,3500,3500,3654,10000,4000,0,0
170,50000,4,4,4,24,0,0,0,0,0,0,28040,29094,29366,27737,28318,28806,1510,1444,984,1017,1277,567,0
171,270000,1,4,4,37,0,0,0,0,0,0,37695,33397,30534,27598,26344,24641,5000,2000,3000,4000,3000,2000,0
174,3e+05,4,1,4,30,-1,-1,-1,-1,-1,-1,688,3280,0,4340,2674,800,3288,0,4340,2674,800,746,0
173,50000,4,4,4,24,-1,0,0,0,0,0,8567,15273,11650,7457,3115,7725,15000,1000,149,0,5000,10000,0
174,50000,4,1,4,24,1,-4,-4,-4,-4,-4,-709,-709,-709,-2898,-3274,-3274,0,0,0,0,0,0,1
175,360000,1,1,4,29,1,-4,-1,-1,-4,-4,0,0,77,0,0,0,0,77,0,0,0,0,0
176,130000,1,3,1,56,1,4,4,4,4,3,64617,65978,67284,68557,72796,71345,3000,3000,3000,5500,0,0,1
177,80000,1,1,4,30,-4,-1,0,0,0,0,6187,100,600,1438,1919,5380,504,500,1000,500,3500,0,0
178,50000,1,4,4,30,1,4,0,0,0,4,48860,47801,48363,30221,22877,22361,0,1500,1000,2000,0,2000,0
179,20000,4,4,4,24,0,0,0,0,0,0,16001,12624,13221,13130,14034,14906,1214,1201,500,1500,1500,1000,0
180,80000,4,4,1,29,0,0,4,0,0,0,77883,81811,80250,61467,10664,11486,5800,1000,600,400,1000,0,0
181,240000,1,1,4,37,-1,-1,4,0,0,-1,12214,26578,25331,26605,26279,1256,15000,0,2000,0,1256,65935,0
184,80000,4,3,4,35,0,-1,0,0,0,0,49608,12414,14873,17364,17770,17460,12500,6500,3000,2000,3000,2000,0
183,5e+05,4,1,1,47,0,0,0,0,0,0,56424,110616,110340,122967,108834,70064,70010,30357,30000,20000,52183,20000,0
184,60000,4,4,1,24,0,0,0,0,0,0,58024,57891,48839,18971,19323,19395,2500,1600,3000,1000,737,2000,1
185,20000,1,4,4,25,0,0,0,0,0,-1,10644,11677,13070,12280,1615,1620,1200,1593,601,135,1824,0,0
186,1e+05,4,4,1,38,1,4,0,0,4,0,14483,13961,15323,16268,15868,16448,0,1600,1500,0,1000,1500,1
187,360000,4,1,4,34,1,-1,-1,-1,-1,-1,2616,57077,5287,68445,13881,16240,57087,5295,68454,13889,16250,38313,0
188,2e+05,4,3,4,47,4,4,4,4,4,4,199436,202947,193936,196186,200164,189915,8214,7000,6800,7134,0,6836,1
189,130000,4,4,1,34,1,-1,0,0,0,0,0,5396,10270,13576,13864,14636,5396,5000,3500,501,1000,2000,0
190,20000,4,4,4,31,1,5,4,4,3,4,21703,21087,21461,20835,20219,20487,0,1000,0,0,760,0,0
191,310000,1,1,4,34,0,0,0,0,0,0,59901,62147,62104,65875,60387,43328,10020,6031,10057,5028,5060,4223,0
194,60000,4,1,4,27,4,0,0,0,4,0,19625,20347,21669,23005,22499,22873,1344,1664,2000,0,900,846,1
193,180000,4,1,4,29,-1,-1,-1,-4,-1,0,11386,199,0,0,17227,17044,199,0,0,17227,341,5114,0
194,180000,4,1,4,24,-1,-1,4,0,0,-4,14670,22087,21284,10200,0,0,37867,0,200,0,0,0,0
195,50000,1,4,1,36,0,0,0,0,-1,-1,47790,18114,18250,-14,74,658,2000,1000,2000,500,1000,20011,0
196,50000,4,1,4,24,1,4,4,4,4,4,36166,37188,37680,38464,39228,40035,1900,1400,1700,1534,1600,0,1
197,150000,4,4,1,34,-4,-4,-4,-4,-4,-4,0,0,0,116,0,1500,0,0,116,0,1500,0,0
198,20000,4,1,4,24,0,0,0,0,-1,0,18553,19446,19065,8334,18868,19247,1500,1034,541,20000,693,1000,0
199,5e+05,4,1,1,34,-4,-4,-4,-1,-1,-1,414,138,2299,1251,1206,1151,138,2299,1251,1206,1151,15816,0
200,30000,4,3,4,24,1,4,4,0,0,0,29010,29256,28124,29836,1630,0,1000,85,1714,104,0,0,1
201,180000,4,1,1,38,-4,-4,-4,-4,-4,-4,750,0,0,0,0,0,0,0,0,0,0,0,0
204,140000,1,1,4,31,0,0,4,0,0,4,27123,27299,17985,20225,27407,10833,25000,0,3000,7800,0,2500,0
203,140000,4,1,4,26,-1,0,-1,-1,-1,-1,13424,18000,13001,5818,13506,487,10000,13001,5841,13506,487,7004,0
204,120000,1,4,4,26,0,0,0,0,0,0,107314,110578,113736,116000,119131,122135,5000,5000,4154,5000,5000,5000,0
205,360000,4,4,1,48,0,0,0,0,0,0,226430,231878,234194,190211,173557,146511,9100,7300,5800,5600,5600,4100,0
206,20000,1,3,1,43,-1,-1,0,0,0,0,227,20351,20237,19339,19450,19337,22359,1305,1258,1459,3457,1700,0
207,1e+05,1,1,1,47,-1,-1,-1,-1,-1,-1,390,1473,390,390,390,0,1473,390,390,390,0,2380,0
208,210000,4,4,1,41,-1,-1,-1,-1,-1,-1,3088,1586,343,3763,877,0,1586,343,3763,877,0,419,1
209,80000,4,4,4,24,0,0,0,0,0,0,81625,81554,79599,49554,49509,49568,3200,3000,2038,2000,1800,1800,1
210,330000,4,1,1,50,-1,-1,-1,-1,-4,-4,8874,4337,2854,1690,0,1709,4345,2854,1704,0,1709,258,0
211,220000,1,1,4,24,0,0,0,-1,-1,-1,105607,108917,111520,8303,0,85634,5000,5050,8303,0,85634,0,0
214,210000,4,1,1,38,1,-4,-1,0,-1,-1,0,0,250,123,789,1224,0,250,0,789,1224,9616,1
213,40000,4,3,1,43,0,0,0,0,0,0,38257,38901,38103,36207,33138,31339,1700,1504,1200,1500,1500,1000,0
214,30000,1,4,4,39,0,0,0,4,0,0,28347,28108,18388,12994,7736,8034,3036,2309,0,1000,2000,148,0
215,470000,1,4,4,27,4,4,4,4,0,0,296573,303320,307843,479978,305145,309959,13000,11001,0,10484,10838,10367,0
216,30000,1,3,1,44,-1,-1,-1,-1,-1,4,390,390,390,240,1320,780,390,390,240,1470,0,0,0
217,240000,4,4,1,36,1,-4,-4,-4,-4,-4,-946,-946,-946,-946,-946,-946,0,0,0,0,0,0,1
218,80000,1,4,4,36,4,0,0,0,0,0,79278,78501,78534,80016,76235,78245,3100,3500,3400,3000,3500,3000,0
219,110000,4,3,0,31,0,0,0,0,0,0,89989,84229,79288,73315,63818,63208,4000,5000,3000,3000,3000,8954,0
